# --------------- Global -----------------------------------------------------
$SSL_ClickHere	Click Here
$SSL_fVoiceVolumeHighlight	The overall volume of the voices from 0.0 as silent to 1.0 as full volume.
$SSL_fMaleVoiceDelay	Male Voice Delay
$SSL_fMaleVoiceDelayHighlight	Male's will start out voicing at this interval and will decrease with each stage.
$SSL_fFemaleVoiceDelay	Female Voice Delay
$SSL_fFemaleVoiceDelayHighlight	Female's will start out voicing at this interval and will decrease with each stage.

$SSL_CachedVoices	Cached Voices
$SSL_SelectVoiceCache	Selected Actor
$SSL_SelectVoiceCacheHighlight	The actor which's voice you are currently viewing.
$SSL_SelectVoiceCacheV	Actor Voice
$SSL_SelectVoiceCacheVHighlight	The SexLab Voice this actor is using.\nVoices (if not manually selected) will be set the first time an actor partakes in an animation.

$SSL_ToggleVoices	Toggle Voices
$SSL_ActiveVoices	Viewed Voices
$SSL_ActiveVoicesHighlight	The voices you are currently viewing, filtered by the specified Race.

$SSL_FemaleAverage	[SL] Female Average
$SSL_FemaleBreathy	[SL] Female Breathy
$SSL_FemaleClassic	[SL] Female Classic
$SSL_FemaleExcitable	[SL] Female Excitable
$SSL_FemaleMature	[SL] Female Mature
$SSL_FemaleQuiet	[SL] Female Quiet
$SSL_FemaleStimulated	[SL] Female Stimulated
$SSL_FemaleYoung	[SL] Female Young
$SSL_FemaleFlat	[SL] Female Flat
$SSL_FemaleRebellious	[SL] Female Rebellious
$SSL_FemaleRebellious2	[SL] Female Rebellious (Alt)
$SSL_FemaleRough	[SL] Female Rough
$SSL_FemaleSeductive	[SL] Female Seductive
$SSL_FemaleShy	[SL] Female Shy
$SSL_FemaleShy2	[SL] Female Shy (Alt)
$SSL_FemaleWarrior	[SL] Female Warrior

$SSL_MaleAverage	[SL] Male Average
$SSL_MaleCalm	[SL] Male Calm
$SSL_MaleNeutral	[SL] Male Neutral
$SSL_MaleRough	[SL] Male Rough

$SSL_ChaurusVoice01	[SL] Chaurus Default
$SSL_DogVoice01	[SL] Dog Default
$SSL_DraugrVoice01	[SL] Draugr Default
$SSL_FalmerVoice01	[SL] Falmer Default
$SSL_GiantVoice01	[SL] Giant Default
$SSL_HorseVoice01	[SL] Horse Default
$SSL_SprigganVoice01	[SL] Spriggan Default
$SSL_TrollVoice01	[SL] Troll Default
$SSL_WerewolfVoice01	[SL] Werewolf Default
$SSL_WolfVoice01	[SL] Wolf Default

# ------------------Player Hotkeys--------------------------------------------------
$SSL_PlayerHotkeys	Player Hotkeys

# ------ Global SexLab Hotkeys
$SSL_GlobalHotkeys	Global SexLab Hotkeys

$SSL_iTargetActor	Target Actor For Edit
$SSL_iTargetActorHighlight	After pressing this hotkey, place your crosshairs in game over an actor until your receive a notification that the actor is targeted, afterwards the actor will be available for editing purposes in various menu pages.
$SSL_iToggleFreeCamera	Toggle Free Camera Mode
$SSL_iToggleFreeCameraHighlight	Toggles the camera mode into a free flying camera state, same as entering TFC into console, this hotkey it enabled at all times regardless of animation.
$SSL_bHideHUD	Hide Game HUD
$SSL_bHideHUDHighlight	Hides the elements from game's HUD, not the scene HUD.

# ------ Scene Manipulation
$SSL_SceneManipulation	Scene Manipulation
$SSL_iKeyUp	Select Branch / Up
$SSL_iKeyDown	Select Branch / Down
$SSL_iKeyLeft	Decrease Speed / Left
$SSL_iKeyRight	Increase Speed / Right
$SSL_iKeyAdvance	Advance Scene / Select
$SSL_iKeyEnd	End Scene / Close Menu / Back
$SSL_iKeyExtra1	Open Menu / Swap Menu Tab
$SSL_iKeyExtra2	Open Menu / Swap Menu Tab
$SSL_iKeyMod	Modifier
$SSL_iKeyReset	Inverse Action
$SSL_iChangeAnimation	Change Animation

# ------------------- Timers & Stripping -------------------------------------------------
$SSL_TimersStripping	Timers & Stripping

# ------ Timers
$SSL_Timers	Timers
$SSL_StageTimer_0	Stage 1 Length
$SSL_StageTimer_1	Stage 2 Length
$SSL_StageTimer_2	Stage 3 Length
$SSL_StageTimer_3	Ending Stage Length

# ------ Stripping
$SSL_Stripping	Stripping

$SSL_DefaultStripping	Standard/Default Scenes
$SSL_DominantStripping	Dominant Scenes

$SSL_StrippingFst_0	Male Actors
$SSL_StrippingSnd_0	Female Actors 
$SSL_StrippingFst_1	Dominant Actors
$SSL_StrippingSnd_1	Submissive Actors
$SSL_ExtraSlots	Extra Slots, not always accurately labeled

$SSL_Strip_0	[30] Head
$SSL_Strip_1	[31] Hair
$SSL_Strip_2	[32] Torso
$SSL_Strip_3	[33] Hands
$SSL_Strip_4	[34] Forearms
$SSL_Strip_5	[35] Amulet
$SSL_Strip_6	[36] Ring
$SSL_Strip_7	[37] Feet
$SSL_Strip_8	[38] Calves
$SSL_Strip_9	[39] Shield
$SSL_Strip_10	[40] Tail
$SSL_Strip_11	[41] Long Hair
$SSL_Strip_12	[42] Circlet
$SSL_Strip_13	[43] Ears
$SSL_Strip_14	[44] Face/Mouth
$SSL_Strip_15	[45] Neck
$SSL_Strip_16	[46] Chest
$SSL_Strip_17	[47] Back
$SSL_Strip_18	[48] Misc Slot
$SSL_Strip_19	[49] Pelvis/Outergarments
$SSL_Strip_20	[50] Decapitated Head
$SSL_Strip_21	[51] Decapitate
$SSL_Strip_22	[52] Pelvis/Undergarments
$SSL_Strip_23	[53] Legs/Right Leg
$SSL_Strip_24	[54] Legs/Left Leg
$SSL_Strip_25	[55] Face/Jewelry
$SSL_Strip_26	[56] Chest/Undergarments
$SSL_Strip_27	[57] Shoulders
$SSL_Strip_28	[58] Arms/Left Arm/Undergarments
$SSL_Strip_29	[59] Arms/Right Arm/Outergarments
$SSL_Strip_30	[60] *3BA Bodies
$SSL_Strip_31	[61] *Spell FX
$SSL_Weapons	[--] Weapons

# ------------------ Toggle Animations --------------------------------------------------
$SSL_ToggleAnimations	Toggle Animations
$SSL_TogglePackage	Filter by Package
$SSL_ToggleGroup	Filter by Group
$SSL_ToggleVisible	Toggle Visible
$SSL_TagFilter	Filter by Tags
$SSL_Page{}{}	Page {}/{}


# ------------------ Matchmaker --------------------------------------------------
$SSL_MatchMaker	Matchmaker

$SSL_ToggleMatchMaker	Enable Matchmaker
$SSL_ToggleMatchMakerHighlight	Enable Matchmaker. Spells will be added to the spell menu

# ------ Tag Settings
$SSL_MatchMakerTagsSettings	Tag Settings
$SSL_InputTags	Tags:
$SSL_InputRequiredTags	Required Tags:
$SSL_InputExcludedTags	Excluded Tags:
$SSL_InputOptionalTags	Optional Tags:
$SSL_TextResetTags	Reset Tags
$SSL_ResetTagsHere	Click
$SSL_TagResetAreYouSure	Reset all tags, are you sure?

# ------ Actor Settings
$SSL_MatchMakerActorSettings	Actor Settings
$SSL_bSubmissivePlayer	Submissive Player
$SSL_bSubmissiveTarget	Submissive Target

# ------------------ Enjoyment --------------------------------------------------
$SSL_EnjoymentSettings	Enjoyment Settings

# ------ Primary Settings
$SSL_bInternalEnjoymentEnabled	Enable Internal Enjoyment
$SSL_bInternalEnjoymentEnabledHighlight	Toggles the internal enjoyment system. Should stay enabled unless an external mod desires to take full control of the enjoyment calculus.
$SSL_iInterDetectionStrength	Interaction Detection Method
$SSL_iInterDetectionStrengthHighlight	Select the method relied upon to determine physical interactions among actors during scenes.\n1: Stage Tags (not recommended)\n2: Position Tags (from HentaiRim)\n3: Real-Time Collision Detection (default)\n4: Mixed Method (safest, but not the most accurate)
$SSL_fEnjRaiseMultInter	EnjRaise Mult: Interactions
$SSL_fEnjRaiseMultInterHighlight	The main multiplier/factor determining the rate at which enjoyment increases for an actor based on detected interactions. Higher values mean faster enjoyment raise and vice versa.\n Can be reduced to zero if user desires enjoyment raise to depend solely on the enjoyment minigame.

# ------ Game Toggles
$SSL_bGameEnabled	Enable Enjoyment Game
$SSL_bGameEnabledHighlight	Toggles the enjoyment minigame inspired from SLSO's implementation.
$SSL_bGamePlayerAutoplay	Game Autoplay: Player
$SSL_bGamePlayerAutoplayHighlight	Automates the enjoyment minigame for the player.\n Not recommended since enjoyment raise is automated through interactions-based enjoyment gain already.
$SSL_bGamePlayerVictimAutoplay	Game Autoplay: Victim
$SSL_bGamePlayerVictimAutoplayHighlight	Automates the enjoyment minigame for the player in victim roles.
$SSL_bGameNPCAutoplay	Game Autoplay: NPC
$SSL_bGameNPCAutoplayHighlight	Automates the enjoyment minigame for NPCs.\n Recommended to be left enabled.
$SSL_bGameEnjReductionChance	Enj Reduction Chance
$SSL_bGameEnjReductionChanceHighlight	Enables a chance factor whereby attempted enjoyment raise during the minigame might reduce enjoyment.
$SSL_bGameHoldbackWithPartner	Holdback With Partner
$SSL_bGameHoldbackWithPartnerHighlight	In scenes with a loved partner, the actors will try to perpetuate the scene by avoiding orgasm at the cost of magicka.

# ------ Game Hotkeys
$SSL_iGameUtilityKey	Game Utility Key
$SSL_iGameUtilityKeyHighlight	Modifier key for alternate functions of other enjoyment game hotkeys.
$SSL_iGamePauseKey	Game Pause Key
$SSL_iGamePauseKeyHighlight	Hotkey to pause/resume the enjoyment game.\nAlternative functions toggled by combining with utility key.
$SSL_iGameRaiseEnjKey	RaiseEnj/Edge Key
$SSL_iGameRaiseEnjKeyHighlight	Hotkey to manually raise enjoyment at the cost of stamina. To raise self/player enjoyment, combine with utility key.\nOnce enjoyment reaches 90, this hotkey is used to maintain edge state, whereby timed clicks are required to avoid spam penalties.
$SSL_iGameHoldbackKey	ReduceEnj/Holdback Key
$SSL_iGameHoldbackKeyHighlight	Hotkey to manually holdback/reduce enjoyment at the cost of magicka. To reduce self/player enjoyment, combine with utility key.
$SSL_iGameSelectNextPos	Next Actor Key
$SSL_iGameSelectNextPosHighlight	Hotkey to cycle/select the next position or actor.\nDirection of cycle will be reversed when combined with utility key.

# ------ Game Hotkeys
$SSL_iEnjGameStaminaCost	Game Stamina Cost
$SSL_iEnjGameStaminaCostHighlight	The amount of stamina to be depleted upon a relevant minigame action.
$SSL_iEnjGameMagickaCost	Game Magicka Cost
$SSL_iEnjGameMagickaCostHighlight	The amount of magicka to be depleted upon a relevant minigame action.
$SSL_iEdgingRewardType	Edging State Reward Type
$SSL_iEdgingRewardTypeHighlight	Reward for successfully maintaining edging state (enjoyment beyond 100).\n0: Only Enjoyment Boost\n1: Additional Stamina Restoration\n2: Additional Magicka Restoration\n3: Additional Health Restoration
$SSL_iEdgeSpamPunishType	Edge Spam Penalty Type
$SSL_iEdgingRewardTypeHighlight	Penalty for spamming clicks before the edging time window.\n0: Only Enjoyment Penalties\n1: Additional Stamina Depletion\n2: Additional Magicka Depletion\n3: Additional Health Depletion

# ------ General Configs
$SSL_iEnjGainOnStageSkip	Stage Skip Enj Gain
$SSL_iEnjGainOnStageSkipHighlight	Amount of enjoyment gained when skipping stages manually (through the stage skip hotkey).
$SSL_bNoStaminaEndsScene	No Stamina Ends Scene
$SSL_bNoStaminaEndsSceneHighlight	Ends the scene automatically when the actor's stamina is depleted.
$SSL_bMaleOrgasmEndsScene	Male Orgasm Ends Scene
$SSL_bMaleOrgasmEndsSceneHighlight	Ends the scene after the first male orgasm.
$SSL_bDomMustOrgasm	Dom Actor Must Orgasm
$SSL_bDomMustOrgasmHighlight	Requires the dominant actor to orgasm before scene ends.\nThread is perpetuated by changing to similar animations till the dominant actor has orgasmed once.
$SSL_bPlayerMustOrgasm	Player Must Orgasm
$SSL_bPlayerMustOrgasmHighlight	Requires the player to orgasm before scene ends\nThread is perpetuated by changing to similar animations till the player has orgasmed once.
$SSL_bHighEnjOrgasmWait	High Enj Orgasm Wait
$SSL_bHighEnjOrgasmWaitHighlight	Scene perpetuates if an actor's enjoyment is >75 or if the actor is in edging state regardless of orgasms count.\nThread is perpetuated by changing to similar animations till the actor with high enjoyment has orgasmed.
$SSL_iMaxNoPainOrgasmMale	Max NoPain Orgasms Male
$SSL_iMaxNoPainOrgasmMaleHighlight	Determines the number of orgasms till which no pain penalty will be imposed on male actors. Once the orgasm counts goes higher than the limit here, each subsequent orgasm will inflict successively higher pain penalties.
$SSL_iMaxNoPainOrgasmFemale	Max NoPain Orgasms Female
$SSL_iMaxNoPainOrgasmFemaleHighlight	Determines the number of orgasms till which no pain penalty will be imposed on female/futa actors. Once the orgasm counts goes higher than the limit here, each subsequent orgasm will inflict successively higher pain penalties.
$SSL_iNoPainRequiredTime	Pain Decay Time
$SSL_iNoPainRequiredTimeHighlight	Time required in seconds for pain effects (e.g. from penetration for inexperienced actors) to decay during a scene. 
$SSL_iNoPainRequiredXP	Pain Avoidance XP
$SSL_iNoPainRequiredXPHighlight	Determines the Anal and Vaginal XP required to avoid pain effects from penetration interactions.

# ------ Misc Multipliers
$SSL_fEnjMultVictim	EnjRaise Mult: Victim
$SSL_fEnjMultVictimHighlight	Additional enjoyment raise multiplier for victim actors.\n(FYI: Victim state is defined by scene's context, not tags.)
$SSL_fEnjMultAggressor	EnjRaise Mult: Aggressor
$SSL_fEnjMultAggressorHighlight	Additional enjoyment raise multiplier for aggressor actors.\n(FYI: Aggressor state is defined by scene's context, not tags.)
$SSL_fEnjMultSub	EnjRaise Mult: Submissive
$SSL_fEnjMultSubHighlight	Additional enjoyment raise multiplier for submissive actors.\n(FYI: Submissive role is defined by SLSB's submissive flags, not tags.)
$SSL_fEnjMultDom	EnjRaise Mult: Dominant
$SSL_fEnjMultDomHighlight	Additional enjoyment raise multiplier for dominant/non-sub actors.\n(FYI: Dominant role is defined by SLSB's submissive flags, not tags.)
$SSL_fPainHugePPMult	Pain Mult: Huge PP
$SSL_fPainHugePPMultHighlight	Additional factor enhancing pain for actors having penetration interactions in receiving position with actors having large schlongs. Used during penetration by certain creatures only, for now.

# ------------------ Expression Editor --------------------------------------------------
$SSL_ExpressionEditor	Expression Editor

$SSL_DialogueMood_0	Dialogue Anger
$SSL_DialogueMood_1	Dialogue Fear
$SSL_DialogueMood_2	Dialogue Happy
$SSL_DialogueMood_3	Dialogue Sad
$SSL_DialogueMood_4	Dialogue Surprise
$SSL_DialogueMood_5	Dialogue Puzzled
$SSL_DialogueMood_6	Dialogue Disgusted
$SSL_DialogueMood_7	Mood Neutral
$SSL_DialogueMood_8	Mood Anger
$SSL_DialogueMood_9	Mood Fear
$SSL_DialogueMood_10	Mood Happy
$SSL_DialogueMood_11	Mood Sad
$SSL_DialogueMood_12	Mood Surprise
$SSL_DialogueMood_13	Mood Puzzled
$SSL_DialogueMood_14	Mood Disgusted
$SSL_DialogueMood_15	Combat Anger
$SSL_DialogueMood_16	Combat Shout

$SSL_Phoneme_0	0: Aah
$SSL_Phoneme_1	1: BigAah
$SSL_Phoneme_2	2: BMP
$SSL_Phoneme_3	3: ChjSh
$SSL_Phoneme_4	4: DST
$SSL_Phoneme_5	5: Eee
$SSL_Phoneme_6	6: Eh
$SSL_Phoneme_7	7: FV
$SSL_Phoneme_8	8: i
$SSL_Phoneme_9	9: k
$SSL_Phoneme_10	10: N
$SSL_Phoneme_11	11: Oh
$SSL_Phoneme_12	12: OohQ
$SSL_Phoneme_13	13: R
$SSL_Phoneme_14	14: Th
$SSL_Phoneme_15	15: W

$SSL_Modifier_0	0: BlinkL
$SSL_Modifier_1	1: BlinkR
$SSL_Modifier_2	2: BrowDownL
$SSL_Modifier_3	3: BrownDownR
$SSL_Modifier_4	4: BrowInL
$SSL_Modifier_5	5: BrowInR
$SSL_Modifier_6	6: BrowUpL
$SSL_Modifier_7	7: BrowUpR
$SSL_Modifier_8	8: LookDown
$SSL_Modifier_9	9: LookLeft
$SSL_Modifier_10	10: LookRight
$SSL_Modifier_11	11: LookUp
$SSL_Modifier_12	12: SquintL
$SSL_Modifier_13	13: SquintR

$SSL_ScaleMode_Linear	Linear
$SSL_ScaleMode_Square	Squared
$SSL_ScaleMode_Cubic	Cubic
$SSL_ScaleMode_Exponential	Exponential

$SSL_ModifyingExpression	Modifying Expression
$SSL_ExpressionScaling	Scaling Function
$SSL_ExpressionScalingHighlight	Scaling behavior to map expression progress to scene enjoyment.\nLinear: Steady and even increase | Squared: Fast initial increase, slow mid section, second spyke as orgasm approaches\nCubic: Slow start, gradual ramp up as orgasm approaches | Exponential: Very slow start, rapid growth as orgasm approaches
$SSL_ExpressionsNormal	Available in regular Scenes
$SSL_ExpressionsVictim	Available as submissive
$SSL_ExpressionsAggressor	Available as dominant
$SSL_EditFemale	Edit Female Data
$SSL_TestOnPlayer	Test On Player

$SSL_WarnTestExpression{}	Testing selected expression on {}. Continue?
$SSL_WarnTestExpressionLowOrHight	Test current expression's low (left) or high (right) profile?
$SSL_WarnTestExpressionWithOpenMouth	Test current expression with an open mouth?
$SSL_StartTestExpression{}	Testing Expression {}. Values will be reset after 15 seconds.\nClose the menu to continue..
$SSL_AppliedTestExpression	Expression applied, reverting expression in 15 seconds...
$SSL_RestoredTestExpression	Expression restored...

$SSL_EditExpressions_0	Expression Data (Low)
$SSL_EditExpressions_1	Expression Data (High)
$SSL_MoodType	Mood Type
$SSL_MoodStrength	Mood Strength
$SSL_Phoneme	Phoneme
$SSL_Modifier	Modifier

$SSL_PrevPhase	<< Previous Phase
$SSL_NextPhase	Next Phase >>

# ------ Sync lips config
$SSL_SyncLipsConfig	Lip Sync

$SSL_Sync	Sync
$SSL_Async	Async
$SSL_LipsSoundTime	Lip Sync Behavior
